264	H.264/MPEG-4 AVC video file
apk	Google Android application package
asec	Google Android encrypted application package file
bbb	BlackBerry backup (post 2012) file
crypt	WhatsApp Messenger encrypted message database backup file
ipa	Apple iOS application file
ipd	BlackBerry backup (pre 2012)
ipsw	iPhone, iPad or iPod Touch iOS software firmware update file
mdbackup	Apple iPhone backup file
nbh	HTC ROM update utility ROM image file
nbu	Nokia PC Suite 6.82+ backup file
npf	Samsung PC Studio phone book backup file
pkpass	Apple Passbook pass file
rem	BlackBerry encrypted data file
rsc	Resource file
sbf	Google Android mobile phone backup file
sis	Symbian installation file
sisx	Symbian OS program installation executable file
thm	Sony Ericsson mobile phone theme file
vcf	vCard file
xap	Microsoft Windows Phone and Microsoft Silverlight application package file
gdb	Database file
ofx	Open Financial Exchange format
qif	Quicken Interchange format file
aac	Advanced audio coding file
aiff	Audio Interchange File Format
amr	Adaptive Multi-Rate compressed audio file
m4a	MPEG-4 compressed audio file
midi	MIDI-sequention sound file
mp3	Compressed audio and music file, mp3 songs or ringtones
wav	WAVe PCM Sound, standard Windows sound format
wma	Windows Media Audio
accdb	Microsoft Access main database file
accdt	Microsoft Access database template
csv	Comma Separated Value file
db	Database file
dbf	Common database file
fdb	Database file
gdb	Database file
idx	Index file
mdb	Microsoft Access database file
mdf	Microsoft SQL Server master database file format
msmessagestore	Windows Mail message information database file
sdf	SQL Server compact edition database file
sql	Structured Query Language Data SQL file
sqlite	SQLite database
wdb	Microsoft Works database file
xml	XML document file
gpx	GPS eXchange format
kml	Google Earth Keyhole Markup language file
kmz	Compressed Keyhole Markup Language (Google Earth) file
map	Geographical map file
air	Adobe AIR rich Internet applications
app	MAC application package or core system service file
application	ClickOnce deployment manifest
appx	Microsoft AppX application package file
appxbundle	Microsoft Windows app bundle package file
bat	Batch file (executable)
com	Command executable file
cpl	Microsoft Windows Control Panel file
deb	Debian Linux package file
dll	Dynamic Link Library file
elf	ELF executable file
exe	Program executable file
jar	Compressed archive file package for Java classes and data file
js	JavaScript file
lnk	Windows Shortcut file
msi	Microsoft Windows Installer installation package
part1.exe	Split Multi-volume RAR compressed self-extracting  file archive (part 1)
prg	Program file
rpm	Linux package manager file
shs	Microsoft Windows Shell Scrap Object file
vbs	Visual Basic script file
xap	Microsoft Windows Phone and Microsoft Silverlight application package file
alx	BlackBerry application loader file
blf	Microsoft Windows registry file
cpl	Microsoft Windows Control Panel file
dat	Program data file
dll	Dynamic Link Library file
drv	Microsoft Windows device driver
dump	Dump file
